sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	12	Unified School District	998		SUS-3	0	Santa Clara Unified SD
2014June3 	12	Unified School District	999	998	SUS-3	1	Santa Clara Unified SD TA  #1   (Alviso)
2014June3 	12	Unified School District	1000	998	SUS-3	2	Santa Clara Unified SD TA  #2  (Jefferson)
2014June3 	12	Unified School District	1001	998	SUS-3	3	Santa Clara Unified SD TA  #3    (Santa Clara)
2014June3 	12	Unified School District	1002		SUS-4	0	Palo Alto Unified SD
2014June3 	12	Unified School District	1003		SUS-5	0	San Jose Unified SD
2014June3 	12	Unified School District	1004	1003	SUS-5	1	San Jose Unified SD TA #1
2014June3 	12	Unified School District	1005	1003	SUS-5	2	San Jose Unified SD TA #2
2014June3 	12	Unified School District	1006	1003	SUS-5	3	San Jose Unified SD TA #3
2014June3 	12	Unified School District	1007	1003	SUS-5	4	San Jose Unified SD TA #4
2014June3 	12	Unified School District	1008	1003	SUS-5	5	San Jose Unified SD TA #5
2014June3 	12	Unified School District	1009		SUS-6	0	Milpitas Unified School District
2014June3 	14	Elementary School District	1010		SUS-7	0	Mountain View Whisman School District
2014June3 	14	Elementary School District	1011		SUS-A	0	Alum Rock Union  School District
2014June3 	14	Elementary School District	1012		SUS-B	0	Berryessa Union School District
2014June3 	14	Elementary School District	1013		SUS-C	0	Cambrian School District
2014June3 	14	Elementary School District	1014		SUS-D	0	Campbell Union School District
2014June3 	14	Elementary School District	1015		SUS-E	0	Cupertino Union School District
2014June3 	14	Elementary School District	1016		SUS-F	0	Evergreen School District
2014June3 	14	Elementary School District	1017		SUS-G	0	Franklin-McKinley School District
2014June3 	12	Unified School District	1018		SUS-H	0	Patterson Joint Unified SD - TA #2
2014June3 	14	Elementary School District	1019		SUS-K	0	North County Joint Union School District
2014June3 	14	Elementary School District	1466		SUS-L	0	Oak Grove School District
2014June3 	14	Elementary School District	1026		SUS-M	0	Orchard School District
2014June3 	14	Elementary School District	1027		SUS-N	0	Lakeside Joint School District
2014June3 	14	Elementary School District	1028		SUS-P	0	Loma Prieta Joint Union School District
2014June3 	14	Elementary School District	1029		SUS-Q	0	Los Altos School District
2014June3 	14	Elementary School District	1030		SUS-R	0	Los Gatos Union School District
2014June3 	14	Elementary School District	1031		SUS-S	0	Luther Burbank School District
2014June3 	14	Elementary School District	1032		SUS-U	0	Moreland School District
2014June3 	14	Elementary School District	1033		SUS-V	0	Mount Pleasant School District
2014June3 	14	Elementary School District	1034		SUS-W	0	Saratoga Union School District
2014June3 	14	Elementary School District	1035		SUS-X	0	Sunnyvale School District
2014June3 	14	Elementary School District	1036		SUS-Y	0	Union School District
2014June3 	10	County Board of Education	1037		SUT-01	0	Santa Clara County Office of Education TA #1
2014June3 	10	County Board of Education	1038		SUT-02	0	Santa Clara County Office of Education TA #2
2014June3 	10	County Board of Education	1039		SUT-03	0	Santa Clara County Office of Education TA #3
2014June3 	10	County Board of Education	1040		SUT-04	0	Santa Clara County Office of Education TA #4
2014June3 	10	County Board of Education	1041		SUT-05	0	Santa Clara County Office of Education TA #5
2014June3 	10	County Board of Education	1042		SUT-07	0	Santa Clara County Office of Education TA #7
2014June3 	10	County Board of Education	1043		SUT-06	0	Santa Clara County Office of Education TA #6
2014June3 	10	County Board of Education	1044		SUT-08	0	San Benito County Bd Of Ed - TA #1
2014June3 	10	County Board of Education	1045		SUT-09	0	Stanislaus County Bd Of Ed - TA #5
2014June3 	31	Water District	1047		UDEL-1	0	Aldercroft Heights County Water District
2014June3 	23	Sanitation District	1048		UDEL-2	0	Burbank Sanitary District
2014June3 	23	Sanitation District	1049		UDEL-3	0	Cupertino Sanitary District
2014June3 	23	Sanitation District	1050		UDEL-4	0	West Bay Sanitary District
2014June3 	42	Census Tract District (2010)	1056		ZT-601	0	2010 CT - 5001
2014June3 	42	Census Tract District (2010)	1060		ZT-605	0	2010 CT - 5005
2014June3 	31	Water District	1051		UDEL-5	0	Purissima Hills Water District
2014June3 	17	Fire District	1052		UDEL-6	0	Saratoga Fire Protection District
2014June3 	20	Memorial District	1053		UDEL-7	0	South Santa Clara Valley Memorial District
2014June3 	23	Sanitation District	1054		UDEL-8	0	Sunol Sanitary District
2014June3 	34	Country Club	1055		UDEL-9	0	GHAD- Silver Creek Country Club
2014June3 	42	Census Tract District (2010)	1064		ZT-609	0	2010 CT - 5009.02
2014June3 	42	Census Tract District (2010)	1065		ZT-610	0	2010 CT - 5010
2014June3 	42	Census Tract District (2010)	1066		ZT-611	0	2010 CT - 5011.01
2014June3 	42	Census Tract District (2010)	1067		ZT-612	0	2010 CT - 5011.02
2014June3 	42	Census Tract District (2010)	1068		ZT-613	0	2010 CT - 5012
2014June3 	42	Census Tract District (2010)	1069		ZT-614	0	2010 CT - 5013
2014June3 	42	Census Tract District (2010)	1070		ZT-615	0	2010 CT - 5014.01
2014June3 	42	Census Tract District (2010)	1071		ZT-616	0	2010 CT - 5014.02
2014June3 	42	Census Tract District (2010)	1072		ZT-617	0	2010 CT - 5015.01
2014June3 	42	Census Tract District (2010)	1073		ZT-618	0	2010 CT - 5015.02
2014June3 	42	Census Tract District (2010)	1074		ZT-619	0	2010 CT - 5016
2014June3 	42	Census Tract District (2010)	1075		ZT-620	0	2010 CT - 5017
2014June3 	42	Census Tract District (2010)	1076		ZT-621	0	2010 CT - 5018
2014June3 	42	Census Tract District (2010)	1077		ZT-622	0	2010 CT - 5019
2014June3 	42	Census Tract District (2010)	1078		ZT-623	0	2010 CT - 5020.01
2014June3 	42	Census Tract District (2010)	1079		ZT-624	0	2010 CT - 5020.02
