sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPortionHndl	sPrecinctPortion	lDistrictHndl	sElecDistrictID	lSubDistrictHndl	iElecSubDistrict
2014June3 	2212	0001131	2212		1426	*404	1426	0
2014June3 	2212	0001131	2212		902	*520	902	0
2014June3 	2212	0001131	2212		902	*520	1413	1
2014June3 	2212	0001131	2212		1408	CG018	1408	0
2014June3 	2212	0001131	2212		934	PK05	934	0
2014June3 	2212	0001131	2212		934	PK05	1463	5
2014June3 	2212	0001131	2212		945	PK09	945	0
2014June3 	2212	0001131	2212		945	PK09	948	3
2014June3 	2212	0001131	2212		1400	SA028	1400	0
2014June3 	2212	0001131	2212		967	SCC-1	967	0
2014June3 	2212	0001131	2212		985	SE002	985	0
2014June3 	2212	0001131	2212		988	SHS-3	988	0
2014June3 	2212	0001131	2212		1405	SS015	1405	0
2014June3 	2212	0001131	2212		1015	SUS-E	1015	0
2014June3 	2212	0001131	2212		1038	SUT-02	1038	0
2014June3 	2212	0001131	2212		1244	ZT-789	1244	0
2014June3 	2213	0001132	2213		882	*0	882	0
2014June3 	2213	0001132	2213		1426	*404	1426	0
2014June3 	2213	0001132	2213		902	*520	902	0
2014June3 	2213	0001132	2213		902	*520	1413	1
2014June3 	2213	0001132	2213		1408	CG018	1408	0
2014June3 	2213	0001132	2213		934	PK05	934	0
2014June3 	2213	0001132	2213		934	PK05	1463	5
2014June3 	2213	0001132	2213		945	PK09	945	0
2014June3 	2213	0001132	2213		945	PK09	948	3
2014June3 	2213	0001132	2213		1400	SA028	1400	0
2014June3 	2213	0001132	2213		967	SCC-1	967	0
2014June3 	2213	0001132	2213		985	SE002	985	0
2014June3 	2213	0001132	2213		988	SHS-3	988	0
2014June3 	2213	0001132	2213		1405	SS015	1405	0
2014June3 	2213	0001132	2213		1015	SUS-E	1015	0
2014June3 	2213	0001132	2213		1038	SUT-02	1038	0
2014June3 	2213	0001132	2213		1244	ZT-789	1244	0
2014June3 	2214	0001133	2214		882	*0	882	0
2014June3 	2214	0001133	2214		1427	*405	1427	0
2014June3 	2214	0001133	2214		902	*520	902	0
2014June3 	2214	0001133	2214		902	*520	1413	1
2014June3 	2214	0001133	2214		1407	CG017	1407	0
2014June3 	2214	0001133	2214		934	PK05	934	0
2014June3 	2214	0001133	2214		934	PK05	1463	5
2014June3 	2214	0001133	2214		945	PK09	945	0
2014June3 	2214	0001133	2214		945	PK09	949	4
2014June3 	2214	0001133	2214		1400	SA028	1400	0
2014June3 	2214	0001133	2214		967	SCC-1	967	0
2014June3 	2214	0001133	2214		985	SE002	985	0
2014June3 	2214	0001133	2214		988	SHS-3	988	0
2014June3 	2214	0001133	2214		1405	SS015	1405	0
2014June3 	2214	0001133	2214		1015	SUS-E	1015	0
2014June3 	2214	0001133	2214		1038	SUT-02	1038	0
2014June3 	2214	0001133	2214		1049	UDEL-3	1049	0
2014June3 	2214	0001133	2214		1288	ZT-833	1288	0
2014June3 	2215	0001134	2215		882	*0	882	0
2014June3 	2215	0001134	2215		1426	*404	1426	0
2014June3 	2215	0001134	2215		902	*520	902	0
2014June3 	2215	0001134	2215		902	*520	1413	1
2014June3 	2215	0001134	2215		1408	CG018	1408	0
2014June3 	2215	0001134	2215		934	PK05	934	0
2014June3 	2215	0001134	2215		934	PK05	1463	5
2014June3 	2215	0001134	2215		945	PK09	945	0
2014June3 	2215	0001134	2215		945	PK09	948	3
2014June3 	2215	0001134	2215		1400	SA028	1400	0
2014June3 	2215	0001134	2215		967	SCC-1	967	0
2014June3 	2215	0001134	2215		985	SE002	985	0
2014June3 	2215	0001134	2215		988	SHS-3	988	0
2014June3 	2215	0001134	2215		1405	SS015	1405	0
2014June3 	2215	0001134	2215		1015	SUS-E	1015	0
2014June3 	2215	0001134	2215		1038	SUT-02	1038	0
2014June3 	2215	0001134	2215		1244	ZT-789	1244	0
2014June3 	2216	0001135	2216		882	*0	882	0
2014June3 	2216	0001135	2216		1426	*404	1426	0
2014June3 	2216	0001135	2216		902	*520	902	0
2014June3 	2216	0001135	2216		902	*520	1413	1
2014June3 	2216	0001135	2216		1408	CG018	1408	0
2014June3 	2216	0001135	2216		934	PK05	934	0
2014June3 	2216	0001135	2216		934	PK05	1463	5
2014June3 	2216	0001135	2216		945	PK09	945	0
2014June3 	2216	0001135	2216		945	PK09	948	3
2014June3 	2216	0001135	2216		1400	SA028	1400	0
2014June3 	2216	0001135	2216		967	SCC-1	967	0
2014June3 	2216	0001135	2216		985	SE002	985	0
2014June3 	2216	0001135	2216		988	SHS-3	988	0
2014June3 	2216	0001135	2216		1405	SS015	1405	0
2014June3 	2216	0001135	2216		1015	SUS-E	1015	0
2014June3 	2216	0001135	2216		1038	SUT-02	1038	0
2014June3 	2216	0001135	2216		1243	ZT-788	1243	0
2014June3 	2217	0001136	2217		882	*0	882	0
2014June3 	2217	0001136	2217		1426	*404	1426	0
2014June3 	2217	0001136	2217		902	*520	902	0
2014June3 	2217	0001136	2217		902	*520	1413	1
2014June3 	2217	0001136	2217		1408	CG018	1408	0
2014June3 	2217	0001136	2217		934	PK05	934	0
2014June3 	2217	0001136	2217		934	PK05	1463	5
2014June3 	2217	0001136	2217		945	PK09	945	0
2014June3 	2217	0001136	2217		945	PK09	948	3
2014June3 	2217	0001136	2217		1400	SA028	1400	0
2014June3 	2217	0001136	2217		967	SCC-1	967	0
2014June3 	2217	0001136	2217		985	SE002	985	0
2014June3 	2217	0001136	2217		988	SHS-3	988	0
2014June3 	2217	0001136	2217		1405	SS015	1405	0
2014June3 	2217	0001136	2217		1015	SUS-E	1015	0
2014June3 	2217	0001136	2217		1038	SUT-02	1038	0
2014June3 	2217	0001136	2217		1243	ZT-788	1243	0
2014June3 	2218	0001137	2218		882	*0	882	0
2014June3 	2218	0001137	2218		1426	*404	1426	0
2014June3 	2218	0001137	2218		902	*520	902	0
2014June3 	2218	0001137	2218		902	*520	1413	1
2014June3 	2218	0001137	2218		1408	CG018	1408	0
2014June3 	2218	0001137	2218		934	PK05	934	0
2014June3 	2218	0001137	2218		934	PK05	1463	5
2014June3 	2218	0001137	2218		945	PK09	945	0
2014June3 	2218	0001137	2218		945	PK09	948	3
2014June3 	2218	0001137	2218		1400	SA028	1400	0
2014June3 	2218	0001137	2218		967	SCC-1	967	0
2014June3 	2218	0001137	2218		985	SE002	985	0
2014June3 	2218	0001137	2218		988	SHS-3	988	0
2014June3 	2218	0001137	2218		1405	SS015	1405	0
2014June3 	2218	0001137	2218		1015	SUS-E	1015	0
2014June3 	2218	0001137	2218		1038	SUT-02	1038	0
2014June3 	2218	0001137	2218		1243	ZT-788	1243	0
2014June3 	2219	0001138	2219		882	*0	882	0
2014June3 	2219	0001138	2219		1426	*404	1426	0
2014June3 	2219	0001138	2219		902	*520	902	0
2014June3 	2219	0001138	2219		902	*520	1413	1
2014June3 	2219	0001138	2219		1408	CG018	1408	0
2014June3 	2219	0001138	2219		934	PK05	934	0
2014June3 	2219	0001138	2219		934	PK05	1463	5
2014June3 	2219	0001138	2219		945	PK09	945	0
2014June3 	2219	0001138	2219		945	PK09	948	3
2014June3 	2219	0001138	2219		1400	SA028	1400	0
2014June3 	2219	0001138	2219		980	SCC-4	980	0
2014June3 	2219	0001138	2219		980	SCC-4	1474	3
2014June3 	2219	0001138	2219		985	SE002	985	0
2014June3 	2219	0001138	2219		986	SHS-1	986	0
2014June3 	2219	0001138	2219		1405	SS015	1405	0
2014June3 	2219	0001138	2219		1014	SUS-D	1014	0
2014June3 	2219	0001138	2219		1039	SUT-03	1039	0
2014June3 	2219	0001138	2219		1243	ZT-788	1243	0
2014June3 	2220	0001139	2220		882	*0	882	0
2014June3 	2220	0001139	2220		1426	*404	1426	0
2014June3 	2220	0001139	2220		902	*520	902	0
2014June3 	2220	0001139	2220		902	*520	1413	1
2014June3 	2220	0001139	2220		1408	CG018	1408	0
2014June3 	2220	0001139	2220		934	PK05	934	0
2014June3 	2220	0001139	2220		934	PK05	1460	2
2014June3 	2220	0001139	2220		945	PK09	945	0
2014June3 	2220	0001139	2220		945	PK09	948	3
2014June3 	2220	0001139	2220		1400	SA028	1400	0
2014June3 	2220	0001139	2220		980	SCC-4	980	0
2014June3 	2220	0001139	2220		980	SCC-4	1474	3
2014June3 	2220	0001139	2220		985	SE002	985	0
2014June3 	2220	0001139	2220		986	SHS-1	986	0
2014June3 	2220	0001139	2220		1405	SS015	1405	0
2014June3 	2220	0001139	2220		1014	SUS-D	1014	0
2014June3 	2220	0001139	2220		1039	SUT-03	1039	0
2014June3 	2220	0001139	2220		1245	ZT-790	1245	0
2014June3 	2221	0001140	2221		882	*0	882	0
2014June3 	2221	0001140	2221		1426	*404	1426	0
2014June3 	2221	0001140	2221		902	*520	902	0
2014June3 	2221	0001140	2221		902	*520	1413	1
2014June3 	2221	0001140	2221		1408	CG018	1408	0
2014June3 	2221	0001140	2221		934	PK05	934	0
2014June3 	2221	0001140	2221		934	PK05	1460	2
2014June3 	2221	0001140	2221		945	PK09	945	0
2014June3 	2221	0001140	2221		945	PK09	948	3
2014June3 	2221	0001140	2221		1400	SA028	1400	0
2014June3 	2221	0001140	2221		980	SCC-4	980	0
2014June3 	2221	0001140	2221		980	SCC-4	1474	3
2014June3 	2221	0001140	2221		985	SE002	985	0
2014June3 	2221	0001140	2221		986	SHS-1	986	0
2014June3 	2221	0001140	2221		1405	SS015	1405	0
2014June3 	2221	0001140	2221		1014	SUS-D	1014	0
2014June3 	2221	0001140	2221		1039	SUT-03	1039	0
2014June3 	2221	0001140	2221		1245	ZT-790	1245	0
2014June3 	2222	0001141	2222		882	*0	882	0
2014June3 	2222	0001141	2222		1426	*404	1426	0
2014June3 	2222	0001141	2222		902	*520	902	0
