sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	39	2621	1
2014June3 	39	2624	3
2014June3 	39	3001	3
2014June3 	39	4410	1
2014June3 	39	4420	1
2014June3 	39	4430	1
2014June3 	39	5200	0
2014June3 	40	1030	10
2014June3 	40	1040	1
2014June3 	40	1050	1
2014June3 	40	1060	1
2014June3 	40	1070	1
2014June3 	40	1080	4
2014June3 	40	1090	1
2014June3 	40	1100	2
2014June3 	40	1150	1
2014June3 	40	1310	0
2014June3 	40	2604	1
2014June3 	40	2621	2
2014June3 	40	2624	2
2014June3 	40	3001	1
2014June3 	40	4410	1
2014June3 	40	4420	1
2014June3 	40	4430	2
2014June3 	40	5200	0
2014June3 	41	1030	10
2014June3 	41	1040	1
2014June3 	41	1050	1
2014June3 	41	1060	1
2014June3 	41	1070	1
2014June3 	41	1080	4
2014June3 	41	1090	1
2014June3 	41	1100	2
2014June3 	66	1100	2
2014June3 	74	1030	10
2014June3 	74	1040	1
2014June3 	74	1050	1
2014June3 	74	1060	1
2014June3 	74	1070	1
2014June3 	74	1080	4
2014June3 	74	1090	1
2014June3 	74	1100	2
2014June3 	74	1130	3
2014June3 	74	1200	0
2014June3 	74	1310	0
2014June3 	74	2604	1
2014June3 	74	2621	2
2014June3 	74	2624	2
2014June3 	74	3001	1
2014June3 	74	4404	0
2014June3 	74	4410	1
2014June3 	74	4420	1
2014June3 	74	4430	2
2014June3 	67	1040	4
2014June3 	78	1030	10
2014June3 	78	1040	1
2014June3 	78	1050	1
2014June3 	24	4420	1
2014June3 	24	4430	2
2014June3 	24	5200	0
2014June3 	25	1030	13
2014June3 	25	1040	4
2014June3 	25	1050	4
2014June3 	25	1060	4
2014June3 	25	1070	1
2014June3 	25	1080	7
2014June3 	25	1090	1
2014June3 	25	1100	2
2014June3 	25	1150	1
2014June3 	25	1200	0
2014June3 	25	1330	0
2014June3 	25	2604	1
2014June3 	25	2621	2
2014June3 	25	2624	1
2014June3 	25	3001	1
2014June3 	25	4410	1
2014June3 	25	4420	1
2014June3 	25	4430	2
2014June3 	25	5200	0
2014June3 	25	5203	0
2014June3 	26	1030	10
2014June3 	26	1040	1
2014June3 	26	1050	1
2014June3 	26	1060	1
2014June3 	26	1070	1
2014June3 	26	1080	4
2014June3 	26	1090	1
2014June3 	26	1100	2
2014June3 	26	1130	3
2014June3 	26	1200	0
2014June3 	26	1310	0
2014June3 	26	2604	1
2014June3 	26	2621	2
2014June3 	26	2624	2
2014June3 	26	3001	1
2014June3 	26	4410	1
2014June3 	26	4420	1
2014June3 	26	4430	2
2014June3 	26	5200	0
2014June3 	26	5203	0
2014June3 	30	1030	10
2014June3 	30	1040	1
2014June3 	30	1050	1
2014June3 	30	1060	1
2014June3 	30	1070	1
2014June3 	30	1080	4
2014June3 	30	1090	1
2014June3 	30	1100	2
2014June3 	30	1130	3
2014June3 	30	1310	0
2014June3 	30	2604	1
2014June3 	30	2621	2
2014June3 	30	2624	2
2014June3 	30	3001	1
2014June3 	30	4410	1
2014June3 	30	4420	1
2014June3 	30	4430	2
2014June3 	30	5200	0
2014June3 	30	5205	0
2014June3 	31	1030	10
2014June3 	31	1040	1
2014June3 	31	1050	1
2014June3 	31	1060	1
2014June3 	31	1070	1
2014June3 	31	1080	4
2014June3 	31	1090	1
2014June3 	31	1100	2
2014June3 	31	1130	3
2014June3 	31	1200	0
2014June3 	31	1310	0
2014June3 	31	2604	1
2014June3 	31	2621	2
2014June3 	31	2624	2
2014June3 	31	3001	1
2014June3 	31	4410	1
2014June3 	31	4420	1
2014June3 	31	4430	2
2014June3 	31	5200	0
2014June3 	31	5205	0
2014June3 	32	1030	10
2014June3 	32	1040	1
2014June3 	32	1050	1
2014June3 	32	1060	1
2014June3 	32	1070	1
